vendor,id,display_name,packaging,unit_price,unit_weight,thumbnail,url
Mercadona,59216,Lacón al horno Noel lonchas,Paquete,2.19,0.2,https://prod-mercadona.imgix.net/images/78b3651724ae4eb6d60832ab26fb2287.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59216/lacon-horno-noel-lonchas-paquete
Mercadona,56128,Maxi lomo Hacendado finas lonchas,Paquete,2.60,0.4,https://prod-mercadona.imgix.net/images/8b0d06ee212ef9f144bb7d50061371c8.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/56128/maxi-lomo-hacendado-finas-lonchas-paquete
Mercadona,59333,Chopped cerdo Hacendado lonchas,Paquete,1.39,0.25,https://prod-mercadona.imgix.net/images/97fd3cb8153fef3ad8d700e16ab3a8b2.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59333/chopped-cerdo-hacendado-lonchas-paquete
Mercadona,59340,Chopped cocido en lata Hacendado finas lonchas,Paquete,1.71,0.15,https://prod-mercadona.imgix.net/images/30773f56b923e5e048a8845494668090.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59340/chopped-cocido-lata-hacendado-finas-lonchas-paquete
Mercadona,59332,Chopped Hacendado,Pieza,2.25,0.5,https://prod-mercadona.imgix.net/images/0bf6680f4dd892f26017fbfcda49a677.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59332/chopped-hacendado-pieza
Mercadona,59334,Mortadela Hacendado lonchas,Paquete,1.25,0.25,https://prod-mercadona.imgix.net/images/3769a7bff54fb0fcc4e0d59830baee5e.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59334/mortadela-hacendado-lonchas-paquete
Mercadona,59335,Mortadela con aceitunas Hacendado lonchas,Paquete,1.25,0.25,https://prod-mercadona.imgix.net/images/31dbaafa4182cdee7689192f2965c9b2.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59335/mortadela-con-aceitunas-hacendado-lonchas-paquete
Mercadona,59343,Mortadela italiana Hacendado finas lonchas,Paquete,1.75,0.15,https://prod-mercadona.imgix.net/images/cd0dee4663e550e971ba44fdec7c2338.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59343/mortadela-italiana-hacendado-finas-lonchas-paquete
Mercadona,40361,Mortadela Hacendado,Pieza,3.60,0.9,https://prod-mercadona.imgix.net/images/150994b1c4fd13a53c66c46ad84ae6a8.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/40361/mortadela-hacendado-pieza
Mercadona,16861,Galantina con pistacho y trufa Hacendado finas lonchas,Paquete,1.85,0.15,https://prod-mercadona.imgix.net/images/5ec4cbdb732fd21d316c23744015037b.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/16861/galantina-con-pistacho-trufa-hacendado-finas-lonchas-paquete
Mercadona,59336,Mortadela de pavo Hacendado finas lonchas,Paquete,1.19,0.15,https://prod-mercadona.imgix.net/images/ef4f43d6e2c402865a8e15505b5a0fb9.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59336/mortadela-pavo-hacendado-finas-lonchas-paquete
Mercadona,16862,Cabeza de cerdo trufa con pistachos Hacendado finas lonchas,Paquete,2.25,0.15,https://prod-mercadona.imgix.net/images/b641d5506f4b073ad1ab4336acd983fb.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/16862/cabeza-cerdo-trufa-con-pistachos-hacendado-finas-lonchas-paquete
Mercadona,40365,Mortadela de pavo con aceitunas Hacendado finas lonchas,Paquete,1.25,0.15,https://prod-mercadona.imgix.net/images/832e1666f9bed987c882c4f94581bac1.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/40365/mortadela-pavo-con-aceitunas-hacendado-finas-lonchas-paquete
Mercadona,59151,Jamón serrano Incarlopsa lonchas extrafinas,Paquete,2.45,0.12,https://prod-mercadona.imgix.net/images/46f3bca561f311bf3c432c2ebc626ead.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59151/jamon-serrano-incarlopsa-lonchas-extrafinas-paquete
Mercadona,59018,Mini taquitos de jamón Incarlopsa,Pack-2,2.65,0.18,https://prod-mercadona.imgix.net/images/8ca5e384c5f3fb27eabc11d33131214f.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59018/mini-taquitos-jamon-incarlopsa-pack-2
Mercadona,59124,Jamón serrano Incarlopsa lonchas,Paquete,4.10,0.24,https://prod-mercadona.imgix.net/images/2c6d88f7c002084e29a1cf070167fac2.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59124/jamon-serrano-incarlopsa-lonchas-paquete
Mercadona,15700,Jamón serrano cortado a máquina,Paquete,3.68,0.16,https://prod-mercadona.imgix.net/images/6d26633366edf93e61f6a53062aaa0df.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/15700/jamon-serrano-cortado-maquina-envasado-vacio-paquete
Mercadona,13527,Jamón gran reserva cortado a máquina,Paquete,4.00,0.16,https://prod-mercadona.imgix.net/images/7ffa7adef902f8fa12b99f69e43c9e42.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/13527/jamon-gran-reserva-cortado-maquina-envasado-vacio-paquete
Mercadona,22879,Jamón cebo ibérico cortado a máquina,Paquete,8.24,0.16,https://prod-mercadona.imgix.net/images/49463ba5be44bdee24435f9175d659a9.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/22879/jamon-cebo-iberico-cortado-maquina-envasado-vacio-paquete
Mercadona,58274,Jamón serrano reserva cortado a cuchillo,Paquete,3.51,0.09,https://prod-mercadona.imgix.net/images/fa034a182cb15b78ecb44918885d7c64.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/58274/jamon-serrano-reserva-cortado-cuchillo-envasado-vacio-paquete
Mercadona,58278,Jamón cebo ibérico cortado a cuchillo,Paquete,6.75,0.09,https://prod-mercadona.imgix.net/images/984e3962a32d0374118407f2d7edef07.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/58278/jamon-cebo-iberico-cortado-cuchillo-envasado-vacio-paquete
Mercadona,58280,Jamón bellota ibérico cortado a cuchillo,Paquete,12.15,0.09,https://prod-mercadona.imgix.net/images/963f4b8276888276cddf22b56b94d2c3.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/58280/jamon-bellota-iberico-cortado-cuchillo-envasado-vacio-paquete
Mercadona,58298,Jamón bellota ibérico 100% cortado a cuchillo,Paquete,14.40,0.09,https://prod-mercadona.imgix.net/images/2dfc4f59d0b884cb0f67e84647a06b17.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/58298/jamon-bellota-iberico-100-cortado-cuchillo-envasado-vacio-paquete
Mercadona,59280,Jamón serrano Jamcal medias lonchas,Pack-2,4.15,0.24,https://prod-mercadona.imgix.net/images/43bef296ca1b4eb6fb53c6298a82d3a8.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59280/jamon-serrano-jamcal-medias-lonchas-pack-2
Mercadona,59173,Paleta curada lonchas Paletas Marpa,Pack-2,4.10,0.24,https://prod-mercadona.imgix.net/images/48fc55a24cda4fdbf5dc6ec4c11f724a.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59173/paleta-curada-lonchas-paletas-marpa-pack-2
Mercadona,59028,Jamón de Trevélez Antonio Álvarez lonchas extra finas,Paquete,3.50,0.12,https://prod-mercadona.imgix.net/images/891a888ff9434fe3fca43d266f7915db.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59028/jamon-trevelez-antonio-alvarez-lonchas-extra-finas-paquete
Mercadona,59071,Taquitos de jamón Incarlopsa,Pack-2,2.65,0.2,https://prod-mercadona.imgix.net/images/23b8ce0ed88cf76aa36660e4b92ed341.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59071/taquitos-jamon-incarlopsa-pack-2
Mercadona,58307,Hueso garrón Incarlopsa,Pieza,1.16,0.29,https://prod-mercadona.imgix.net/images/fbee333435f5f10ca1079069d86b4f23.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/58307/hueso-garron-incarlopsa-pieza
Mercadona,58230,Surtido de ibéricos La Hacienda del ibérico,Paquete,5.95,0.2,https://prod-mercadona.imgix.net/images/2d81862bf1c2ee453aeee52086cb1bf0.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/58230/surtido-ibericos-hacienda-iberico-contiene-jamon-cebo-chorizo-cana-lomo-cebo-salchichon-paquete
Mercadona,58220,Panceta salada ibérica La Hacienda del ibérico,Paquete,2.70,0.36,https://prod-mercadona.imgix.net/images/077b6193a19eb9fbc0f5a189bca7db18.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/58220/panceta-salada-iberica-hacienda-iberico-paquete
Mercadona,59101,Cecina ahumada natural Embutidos Pajariel lonchas,Paquete,3.25,0.1,https://prod-mercadona.imgix.net/images/344596ec4bf79f5bb40f79fe439037f6.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59101/cecina-ahumada-natural-embutidos-pajariel-lonchas-paquete
Mercadona,58306,Codillo de jamón entero Incarlopsa,Pieza,2.48,0.9,https://prod-mercadona.imgix.net/images/d475b629db42b010c1c5c81fbbc4f22d.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/58306/codillo-jamon-entero-incarlopsa-pieza
Mercadona,58215,Paleta de cebo ibérica La Hacienda del ibérico,Paquete,4.90,0.1,https://prod-mercadona.imgix.net/images/8c044f541c3fd7f80d6a25f44a7ecec6.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/58215/paleta-cebo-iberica-hacienda-iberico-paquete
Mercadona,59269,Jamón de Teruel El Ontanar lonchas,Paquete,3.55,0.12,https://prod-mercadona.imgix.net/images/bd345a105364b6a5409bbfe040230a3a.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59269/jamon-teruel-ontanar-lonchas-paquete
Mercadona,15628,Jamón serrano gran reserva Costa Brava sin aditivos lonchas,Paquete,2.30,0.09,https://prod-mercadona.imgix.net/images/f74cedb63479de02002bf1079ea369ef.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/15628/jamon-serrano-gran-reserva-costa-brava-sin-aditivos-lonchas-paquete
Mercadona,58293,Jamón serrano Incarlopsa,Pieza,58.00,7.6,https://prod-mercadona.imgix.net/images/1f6610714246f37d7f063c35d6ad4719.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/58293/jamon-serrano-incarlopsa-pieza
Mercadona,58154,Paleta de cebo ibérica La Hacienda del ibérico,Pieza,58.00,5.0,https://prod-mercadona.imgix.net/images/bf323a0ab9c0414fc4a98be2562cda26.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/58154/paleta-cebo-iberica-hacienda-iberico-pieza
Mercadona,58006,Paleta de cerdo curada Marpa,Pieza,30.00,4.612,https://prod-mercadona.imgix.net/images/dd06afe213240d2081c00951683cbfa8.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/58006/paleta-cerdo-curada-marpa-pieza
Mercadona,58294,Jamón de cebo ibérico La Hacienda del ibérico,Pieza,129.00,8.5,https://prod-mercadona.imgix.net/images/3d81902976e1469d3371118164c05525.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/58294/jamon-cebo-iberico-hacienda-iberico-pieza
Mercadona,58286,Jamón de bellota ibérico 50% La Hacienda del ibérico,Pieza,391.50,9.0,https://prod-mercadona.imgix.net/images/91fa6c68f2efd2b91c309ffbc0478585.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/58286/jamon-bellota-iberico-50-hacienda-iberico-pieza
Mercadona,58297,Jamón bellota ibérico 100% Covap,Pieza,481.50,9.0,https://prod-mercadona.imgix.net/images/4b5450d4402e530ef41f8957ab81700b.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/58297/jamon-bellota-iberico-100-covap-pieza
Mercadona,55108,Fuet espetec extra Hacendado,,2.57,1.0,https://prod-mercadona.imgix.net/images/cea11c6ef934dff6c6a018df3b757b8d.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/55108/fuet-espetec-extra-hacendado
Mercadona,59085,Salchichón extra Hacendado lonchas,Pack-4,2.11,0.24,https://prod-mercadona.imgix.net/images/9c0d1da8354c0393df15148e60986766.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59085/salchichon-extra-hacendado-lonchas-pack-4
Mercadona,59078,Sticks longaniza extra Hacendado,Paquete,1.10,0.05,https://prod-mercadona.imgix.net/images/6d7e422ac8317180cca2329fbb39cdb4.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59078/sticks-longaniza-extra-hacendado-paquete
Mercadona,55142,Longaniza de Pascua extra Hacendado,Paquete,2.43,0.14,https://prod-mercadona.imgix.net/images/b8031d5e58a91ca08cff24e3a6d59913.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/55142/longaniza-pascua-extra-hacendado-paquete
Mercadona,59130,Salchichón extra Hacendado lonchas,Pack-4,2.27,0.18,https://prod-mercadona.imgix.net/images/70c14f77b7a716d260af85ee2c09176f.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59130/salchichon-extra-hacendado-lonchas-pack-4
Mercadona,59254,Longaniza de payés extra Hacendado lonchas,Pack-4,2.07,0.125,https://prod-mercadona.imgix.net/images/d83dc8800d6a49d0e6e1c8c4303eda9c.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59254/longaniza-payes-extra-hacendado-lonchas-pack-4
Mercadona,59090,Salami extra Hacendado lonchas,Pack-4,1.97,0.24,https://prod-mercadona.imgix.net/images/4d195f441ba02aef196c0b1914a97e78.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59090/salami-extra-hacendado-lonchas-pack-4
Mercadona,59077,Salchichón extra pimienta Hacendado finas lonchas,Paquete,1.82,0.1,https://prod-mercadona.imgix.net/images/24ea803a3fd26afe3c1875e24adc93d3.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59077/salchichon-extra-pimienta-hacendado-finas-lonchas-paquete
Mercadona,58267,Salchichón de cebo ibérico cortado a máquina,Paquete,2.30,0.09,https://prod-mercadona.imgix.net/images/85d79ed9618f2d1128d08afc33614661.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/58267/salchichon-cebo-iberico-cortado-maquina-envasado-vacio-paquete
Mercadona,58489,Salchichón de bellota ibérico cortado a máquina,Paquete,2.92,0.09,https://prod-mercadona.imgix.net/images/3869e45491c5ebf1848c319eb2e8699c.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/58489/salchichon-bellota-iberico-cortado-maquina-envasado-vacio-paquete
Mercadona,60698,Salchichón ibérico extra La Hacienda del ibérico lonchas,Pack-4,2.03,0.125,https://prod-mercadona.imgix.net/images/2155b81a513f54858341f330c4247f30.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/60698/salchichon-iberico-extra-hacienda-iberico-lonchas-pack-4
Mercadona,55136,Longaniza de pavo Imperial extra Hacendado,Pieza,3.76,0.235,https://prod-mercadona.imgix.net/images/4093763502649349ae957fce8993e19c.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/55136/longaniza-pavo-imperial-extra-hacendado-pieza
Mercadona,55125,Longaniza clásica extra Hacendado,,2.80,1.0,https://prod-mercadona.imgix.net/images/aab35dd9f11e5e6088ee19a6d314098e.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/55125/longaniza-clasica-extra-hacendado
Mercadona,55130,Longaniza de payés extra Hacendado,,4.98,1.0,https://prod-mercadona.imgix.net/images/cdbb63a50ab0163c963d3e950d6fc03a.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/55130/longaniza-payes-extra-hacendado
Mercadona,55028,Salami montañés extra El Pozo,,1.85,1.0,https://prod-mercadona.imgix.net/images/c5c0532ba203232441edafbcba746d7a.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/55028/salami-montanes-extra-pozo
Mercadona,58159,Salchichón cular ibérico extra La Hacienda del ibérico,Pieza,6.98,0.5,https://prod-mercadona.imgix.net/images/91483f8ea69bf39016d859a30c674747.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/58159/salchichon-cular-iberico-extra-hacienda-iberico-pieza
Mercadona,58248,Mini salchichón ibérico extra La Hacienda del ibérico,Pieza,2.65,0.2,https://prod-mercadona.imgix.net/images/7449d54fd6b0892c9cafa3d2ed41da84.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/58248/mini-salchichon-iberico-extra-hacienda-iberico-pieza
Mercadona,58266,Salchichón cular ibérico extra La Hacienda del ibérico,Pieza,11.44,0.82,https://prod-mercadona.imgix.net/images/f82e3bcebb6011a449ce38740ec754d2.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/58266/salchichon-cular-iberico-extra-hacienda-iberico-pieza
Mercadona,58488,Salchichón de bellota ibérico La Hacienda del ibérico,Pieza,21.90,1.0,https://prod-mercadona.imgix.net/images/cc2dbca0e3e693b55e1934a48937e54e.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/58488/salchichon-bellota-iberico-hacienda-iberico-pieza
Mercadona,40302,Longaniza de Aragón extra Cárnicas Gállego,Pieza,3.25,0.25,https://prod-mercadona.imgix.net/images/61daa692dc4c3b8de831eabcb716aa29.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/40302/longaniza-aragon-extra-carnicas-gallego-pieza
Mercadona,59165,Longaniza de pavo extra Hacendado lonchas,Pack-4,2.38,0.125,https://prod-mercadona.imgix.net/images/4aa358adbefee358a6b0af97771c1f3b.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59165/longaniza-pavo-extra-hacendado-lonchas-pack-4
Mercadona,59159,Salchichón de pavo extra Hacendado lonchas,Pack-4,2.38,0.15,https://prod-mercadona.imgix.net/images/b98c684f52d2fef684676edd1ae0fd55.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59159/salchichon-pavo-extra-hacendado-lonchas-pack-4
Mercadona,15530,Sticks de salami extra Hacendado,Paquete,1.10,0.05,https://prod-mercadona.imgix.net/images/8d69bcb80079a77babf02391a042d92f.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/15530/sticks-salami-extra-hacendado-paquete
Mercadona,60964,Pepperoni en lonchas Hacendado,Paquete,1.60,0.075,https://prod-mercadona.imgix.net/images/93aa87d3317ec621febadb831d1b56ca.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/60964/pepperoni-lonchas-hacendado-paquete
Mercadona,59166,Chorizo Pamplona extra Hacendado lonchas,Pack-4,1.95,0.225,https://prod-mercadona.imgix.net/images/9a820f336a97015944493412ad7a50f0.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59166/chorizo-pamplona-extra-hacendado-lonchas-pack-4
Mercadona,59086,Chorizo extra Hacendado lonchas,Pack-4,2.19,0.24,https://prod-mercadona.imgix.net/images/43fb72cdab44faff7ab505cffe2a4db7.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59086/chorizo-extra-hacendado-lonchas-pack-4
Mercadona,59158,Chorizo de pavo extra Hacendado lonchas,Pack-4,2.38,0.15,https://prod-mercadona.imgix.net/images/4c78b8c824ed825dd5db263db250f717.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59158/chorizo-pavo-extra-hacendado-lonchas-pack-4
Mercadona,60699,Chorizo ibérico extra La Hacienda del ibérico lonchas,Pack-4,2.03,0.125,https://prod-mercadona.imgix.net/images/c32bb936689c715d78f1fdbc684978fb.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/60699/chorizo-iberico-extra-hacienda-iberico-lonchas-pack-4
Mercadona,54210,Chorizo picante extra Hacendado,Pieza,2.49,0.28,https://prod-mercadona.imgix.net/images/cad7876f3efdee02d2a54ff0e5eea423.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/54210/chorizo-picante-extra-hacendado-pieza
Mercadona,55135,Taquitos de chorizo extra Revilla,Pack-2,2.55,0.2,https://prod-mercadona.imgix.net/images/638b8e3468f4be4b3a91330cd4ca3be8.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/55135/taquitos-chorizo-extra-revilla-pack-2
Mercadona,86174,Chorizo extra Revilla lonchas,Paquete,1.00,0.065,https://prod-mercadona.imgix.net/images/6a7f69fd2e27adf995970fc889113c86.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/86174/chorizo-extra-revilla-lonchas-paquete
Mercadona,59250,Chorizo picante extra Hacendado lonchas,Pack-4,2.42,0.225,https://prod-mercadona.imgix.net/images/5013e383004636e6aaddc69e6676c340.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59250/chorizo-picante-extra-hacendado-lonchas-pack-4
Mercadona,59080,Chorizo extra pimienta Hacendado finas lonchas,Paquete,1.87,0.1,https://prod-mercadona.imgix.net/images/c3f189e054f2cb36c4aa25d9480d0474.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/59080/chorizo-extra-pimienta-hacendado-finas-lonchas-paquete
